,SOURCE_NUMBER,CATALOG_NUMBER,EXTENSION,ASTR_INSTRUM,PHOT_INSTRUM,X_IMAGE,Y_IMAGE,ERRA_IMAGE,ERRB_IMAGE,ERRTHETA_IMAGE,ALPHA_J2000,DELTA_J2000,ERRA_WORLD,ERRB_WORLD,ERRTHETA_WORLD,EPOCH,MAG,MAGERR,FLAGS_EXTRACTION,FLAGS_SCAMP,FLAGS_IMA,PM,PMERR,PMALPHA,PMDELTA,PMALPHAERR,PMDELTAERR
10621,3410,9,1,1,1,3285.30497458,1872.93513391,0.114417634904,0.114417634904,0.0,99.9381751723,0.290678806431,3.19038872476e-06,3.19038872476e-06,0.0,2021.48358185,-2.13283252716,0.024334916845,0,32,0,0.148844944011,0.0557486117871,0.148843735456,-0.000599889783189,0.0394202210009,0.0394202210009
10622,3410,8,1,1,1,2785.08788221,3686.07199857,0.11621145159,0.11621145159,0.0,99.938180677,0.290701776857,3.24013035424e-06,3.24013035424e-06,0.0,2021.4836772,-2.14592719078,0.0243884269148,0,32,0,0.148844944011,0.0557486117871,0.148843735456,-0.000599889783189,0.0394202210009,0.0394202210009
13030,4043,12,1,1,1,1658.96666513,1271.97594486,0.00770075898618,0.00770075898618,0.0,99.9694565456,0.357302150497,3.50597275656e-07,3.50597275656e-07,0.0,2021.4836772,-1.76130402088,0.0138207934797,0,32,0,0.0201613791495,0.00584463846747,0.0150255467743,0.0134429968894,0.00413278350607,0.00413278350607
13031,4043,11,1,1,1,1658.94603213,2271.97847332,0.00782310031354,0.00782310031354,0.0,99.9694570784,0.357305560117,3.52678256377e-07,3.52678256377e-07,0.0,2021.48364541,-1.76390564442,0.0137991979718,0,32,0,0.0201613791495,0.00584463846747,0.0150255467743,0.0134429968894,0.00413278350607,0.00413278350607
13032,4043,10,1,1,1,1658.95633959,3271.97937582,0.00771384406835,0.00771384406835,0.0,99.9694576819,0.357308755827,3.50816662831e-07,3.50816662831e-07,0.0,2021.48361363,-1.80249869823,0.01356246043,0,32,0,0.0201613791495,0.00584463846747,0.0150255467743,0.0134429968894,0.00413278350607,0.00413278350607
13222,4108,12,1,1,1,2065.97868844,1610.97355534,0.00573155796155,0.00573155796155,0.0,99.9581477842,0.36671125238,3.20169789347e-07,3.20169789347e-07,0.0,2021.4836772,-2.29116392136,0.0102108940482,0,32,0,0.023402383942,0.0075504531941,0.00998574774712,0.0211649816483,0.00533897662535,0.00533897662535
13223,4108,11,1,1,1,2065.97806753,2610.97807752,0.00573644274846,0.00573644274846,0.0,99.9581488424,0.366718359161,3.20234789797e-07,3.20234789797e-07,0.0,2021.48364541,-2.28371882439,0.0102228084579,0,32,0,0.023402383942,0.0075504531941,0.00998574774712,0.0211649816483,0.00533897662535,0.00533897662535
13224,4108,10,1,1,1,2065.97914484,3610.9765731,0.00586184579879,0.00586184579879,0.0,99.9581504503,0.366723075761,3.21982469131e-07,3.21982469131e-07,0.0,2021.48361363,-2.25575065613,0.0103967618197,0,32,0,0.023402383942,0.0075504531941,0.00998574774712,0.0211649816483,0.00533897662535,0.00533897662535
13256,4120,12,1,1,1,2946.28604662,1634.7243354,0.0750851333141,0.0750851333141,0.0,99.9336934728,0.367369544553,2.10411826629e-06,2.10411826629e-06,0.0,2021.4836772,-6.04793310165,0.00341790425591,0,32,0,0.0112425820443,0.00410015566894,0.00614829920232,0.009412442334,0.00289924792014,0.00289924792014
13257,4120,11,1,1,1,2946.23454207,2635.26869666,0.0751813203096,0.0751813203096,0.0,99.9336968138,0.367392284648,2.10675057133e-06,2.10675057133e-06,0.0,2021.48364541,-6.07627296448,0.0033994524274,0,32,0,0.0112425820443,0.00410015566894,0.00614829920232,0.009412442334,0.00289924792014,0.00289924792014
13258,4120,10,1,1,1,2946.17534308,3635.94366683,0.07645586133,0.07645586133,0.0,99.9337002163,0.36741575891,2.14185160985e-06,2.14185160985e-06,0.0,2021.48361363,-6.04532194138,0.00345113640651,0,32,0,0.0112425820443,0.00410015566894,0.00614829920232,0.009412442334,0.00289924792014,0.00289924792014
13408,4172,12,1,1,1,4014.97324811,1865.99235537,0.00595161132514,0.00595161132514,0.0,99.9040033491,0.373790667356,3.23252891121e-07,3.23252891121e-07,0.0,2021.4836772,-1.97881507874,0.0118795474991,0,96,0,19.4291723142,0.0967303875237,9.92138767242,16.7050533295,0.0683987140656,0.0683987140656
13409,4172,11,1,1,1,4014.97735149,2865.98632595,0.00592518551275,0.00592518551275,0.0,99.904006982,0.373801161875,3.22875592929e-07,3.22875592929e-07,0.0,2021.48364541,-1.99760472775,0.0117948604748,0,32,0,19.4291723142,0.0967303875237,9.92138767242,16.7050533295,0.0683987140656,0.0683987140656
13410,4172,10,1,1,1,4014.97151318,3865.98966095,0.00595159549266,0.00595159549266,0.0,99.9040098334,0.373807122569,3.23250390011e-07,3.23250390011e-07,0.0,2021.48361363,-1.99311387539,0.0118429232389,0,32,0,19.4291723142,0.0967303875237,9.92138767242,16.7050533295,0.0683987140656,0.0683987140656
13498,4204,12,1,1,1,1977.97232743,1983.96739997,0.0053447606042,0.0053447606042,0.0,99.9605896492,0.377064789987,3.14964921699e-07,3.14964921699e-07,0.0,2021.4836772,-2.39266419411,0.00963631365448,0,96,0,0.0855568507662,0.0341226766462,-0.000767506367993,0.0855534076691,0.0241283755749,0.0241283755749
13499,4204,11,1,1,1,1977.97242613,2983.96904738,0.00530938478187,0.00530938478187,0.0,99.9605915887,0.377075764157,3.14500454124e-07,3.14500454124e-07,0.0,2021.48364541,-2.38330674171,0.00965826679021,0,32,0,0.0855568507662,0.0341226766462,-0.000767506367993,0.0855534076691,0.0241283755749,0.0241283755749
13500,4204,10,1,1,1,1977.97358732,3983.96705286,0.00521208299324,0.00521208299324,0.0,99.960594187,0.377082488829,3.13242310312e-07,3.13242310312e-07,0.0,2021.48361363,-2.42858314514,0.00946262851357,0,32,0,0.0855568507662,0.0341226766462,-0.000767506367993,0.0855534076691,0.0241283755749,0.0241283755749
13561,4225,12,1,1,1,1652.97242503,2077.98674025,0.00252271303907,0.00252271303907,0.0,99.9696169822,0.379675086129,2.86480997147e-07,2.86480997147e-07,0.0,2021.4836772,-4.08174419403,0.00420894706622,0,32,0,0.0573823921222,0.0284911349785,-0.0269599035382,-0.0506547391415,0.0201462749392,0.0201462749392
13562,4225,11,1,1,1,1652.97137857,3077.98349151,0.00252950773574,0.00252950773574,0.0,99.9696190279,0.379686885637,2.86525022375e-07,2.86525022375e-07,0.0,2021.48364541,-4.0756726265,0.00421842606738,0,32,0,0.0573823921222,0.0284911349785,-0.0269599035382,-0.0506547391415,0.0201462749392,0.0201462749392
13563,4225,10,1,1,1,1652.97143098,4077.98594293,0.00253097619861,0.00253097619861,0.0,99.9696220131,0.379694398788,2.86535197347e-07,2.86535197347e-07,0.0,2021.48361363,-4.07434177399,0.00422505801544,0,32,0,0.0573823921222,0.0284911349785,-0.0269599035382,-0.0506547391415,0.0201462749392,0.0201462749392
