,DITHER,ALPHA_J2000,DELTA_J2000,MAG_ISO,PM,CLASS_STAR,OBJECT
705,1,8.31232979386,-21.1064468323,24-25,0.1,0.000230674428167,galaxies
709,1,8.35973801217,-21.0942550771,24-25,0.1,0.000211497666896,galaxies
711,1,8.33360911835,-21.0857402996,24-25,0.1,0.000298987375572,galaxies
713,1,8.25924668939,-21.0740252989,23-24,0.1,0.000331966468366,galaxies
717,1,8.26920123935,-21.0629648606,23-24,0.1,0.0175684988499,galaxies
721,1,8.29971555971,-21.0534117628,25-26,0.1,0.000111376088171,galaxies
727,1,8.24730215115,-21.0475987348,24-25,0.1,0.000179243725142,galaxies
728,1,8.25126261392,-21.0468046414,23-24,0.1,0.000438292132458,galaxies
729,1,8.28549772288,-21.0460380734,23-24,0.1,0.000259432970779,galaxies
735,1,8.34540556848,-21.0419530458,22-23,0.1,0.000530093442649,galaxies
741,1,8.28974974669,-21.0372656209,20-21,0.1,0.0250945836306,galaxies
744,1,8.33073575597,-21.0358636726,24-25,0.1,0.000277841172647,galaxies
746,1,8.26883062325,-21.0345932369,24-25,0.1,0.000249509263085,galaxies
750,1,8.2583767701,-21.0310994457,24-25,0.1,0.000344652216882,galaxies
752,1,8.26037147829,-21.0308017624,21-22,0.1,0.000352848001057,galaxies
755,1,8.26066409456,-21.030267054,23-24,0.1,0.00380809558555,galaxies
756,1,8.25872134805,-21.0299230037,25-26,0.1,0.000111746929178,galaxies
760,1,8.18670717486,-21.636093434,26-27,0.1,0.721212983131,galaxies
766,1,8.28250216768,-21.0200510978,24-25,0.1,0.0148262968287,galaxies
768,1,8.31822893722,-21.0192984172,24-25,0.1,0.00017922144616,galaxies
769,1,8.27590723932,-21.0190127763,25-26,0.1,0.00274447957054,galaxies
770,1,8.32094336674,-21.0167209084,24-25,0.1,0.000510286889039,galaxies
773,1,8.33046532574,-21.0115192148,24-25,0.1,0.000539180706255,galaxies
774,1,8.28827363195,-21.0059521807,24-25,0.1,0.000226142277825,galaxies
