,DITHER,ALPHA_J2000,DELTA_J2000,MAG_ISO,PM,CLASS_STAR,OBJECT
33996,4,8.28935015289,-21.4971952776,24-25,0.1,0.000158354494488,galaxies
33997,4,8.28935015289,-21.4971952776,24-25,0.1,0.000158354494488,galaxies
33998,4,8.2312827216,-21.4957131169,24-25,0.1,0.00670731253922,galaxies
33999,4,8.2312827216,-21.4957131169,24-25,0.1,0.00670731253922,galaxies
34004,4,8.2920236819,-21.4950047765,24-25,0.1,0.000191138431546,galaxies
34005,4,8.2920236819,-21.4950047765,24-25,0.1,0.000191138431546,galaxies
34010,4,8.2357093146,-21.493493515,23-24,0.1,0.000319114275044,galaxies
34011,4,8.2357093146,-21.493493515,23-24,0.1,0.000319114275044,galaxies
34012,4,8.2731266561,-21.4922414185,23-24,0.1,0.0017205538461,galaxies
34013,4,8.2731266561,-21.4922414185,23-24,0.1,0.0017205538461,galaxies
34018,4,8.23347795475,-21.4884200402,27-28,0.1,0.002825752832,galaxies
34019,4,8.23347795475,-21.4884200402,27-28,0.1,0.002825752832,galaxies
34022,4,8.23727650425,-21.4881892292,25-26,0.1,0.0022314414382,galaxies
34023,4,8.23727650425,-21.4881892292,25-26,0.1,0.0022314414382,galaxies
34028,4,8.26237450364,-21.4868007323,22-23,0.1,0.00175371882506,galaxies
34029,4,8.26237450364,-21.4868007323,22-23,0.1,0.00175371882506,galaxies
34036,4,8.22600604982,-21.4845819977,22-23,0.1,0.000379202741897,galaxies
34037,4,8.22600604982,-21.4845819977,22-23,0.1,0.000379202741897,galaxies
34040,4,8.23149261325,-21.4837567453,25-26,0.1,0.000110429973574,galaxies
34041,4,8.23149261325,-21.4837567453,25-26,0.1,0.000110429973574,galaxies
34048,4,8.23893003843,-21.4817858952,23-24,0.1,0.00289875315502,galaxies
34049,4,8.23893003843,-21.4817858952,23-24,0.1,0.00289875315502,galaxies
34054,4,8.3111631208,-21.4808236749,24-25,0.1,0.000132251981995,galaxies
34055,4,8.3111631208,-21.4808236749,24-25,0.1,0.000132251981995,galaxies
34058,4,8.2382290654,-21.4788251558,24-25,0.1,0.000197626432055,galaxies
34059,4,8.2382290654,-21.4788251558,24-25,0.1,0.000197626432055,galaxies
34062,4,8.27058451191,-21.4775170279,23-24,0.1,0.000647921289783,galaxies
34063,4,8.27058451191,-21.4775170279,23-24,0.1,0.000647921289783,galaxies
34066,4,8.27446618061,-21.4746399133,26-27,0.1,0.00255148741417,galaxies
34067,4,8.27446618061,-21.4746399133,26-27,0.1,0.00255148741417,galaxies
34072,4,8.26160546637,-21.4712869784,24-25,0.1,0.00618540029973,galaxies
34073,4,8.26160546637,-21.4712869784,24-25,0.1,0.00618540029973,galaxies
34078,4,8.29466196768,-21.4666424254,24-25,0.1,0.000132007859065,galaxies
34079,4,8.29466196768,-21.4666424254,24-25,0.1,0.000132007859065,galaxies
34084,4,8.28158861728,-21.4614825251,21-22,0.1,0.00033584490302,galaxies
34085,4,8.28158861728,-21.4614825251,21-22,0.1,0.00033584490302,galaxies
34098,4,8.14295652454,-21.6181149324,23-24,0.1,0.000291011034278,galaxies
34099,4,8.14295652454,-21.6181149324,23-24,0.1,0.000291011034278,galaxies
34100,4,8.15364540955,-21.6145013141,24-25,0.1,0.00730985822156,galaxies
34101,4,8.15364540955,-21.6145013141,24-25,0.1,0.00730985822156,galaxies
34102,4,8.16674507908,-21.6110677771,24-25,0.1,0.0027006578166,galaxies
34103,4,8.16674507908,-21.6110677771,24-25,0.1,0.0027006578166,galaxies
34108,4,8.13244941936,-21.6039187023,23-24,0.1,0.935247778893,star
